B cells,T cells,naive B cells,non-switched memory B cells,class-switched memory B cells,CD8 T cells,CD4 T cells,Th cells,Treg cells,naive Th cells,CM Th cells,EM Th cells,TEMRA Th cells,activated Treg cells,naive Treg cells,naive CD8 T cells,CM CD8 T cells,EM CD8 T cells,TEMRA CD8 T cells,platelets,CD56+ NKT,eosinophils,neutrophils,CD16+ NKT,basophils,CD56++ NK,CD16+CD56+ NK,CD14+ monocytes,CD14+CD16+ monocytes,CD16+ monocytes,pDC,mDC,target
139.98,133.93,130.91,153.87,154.93,134.57,132.81,133.75,128.68,120.11,131.97,139.29,143.23,129.17,122.59,129.16,138.13,138.64,136,128.62,132.08,571.19,292.88,129.14,827.08,114.22,123.51,233.24,214.3,174.39,143.82,193.33,CD107b
158.85,143.67,153.01,149.7,162.51,143.61,139.99,140.47,130.71,567.11,140.5,128.66,142.79,134.61,101.51,168.69,144.5,137.47,156,109.59,142.86,543.35,240.22,140.36,520.95,227.52,146.37,158.61,183.59,154.09,369.66,158.23,CD108
193.87,175.68,0,547.07,124.51,167.13,181,211.02,124.05,221.17,201.56,171.05,237.83,120.93,127.17,294.07,148.16,171.5,162.77,98.58,191.71,459.48,326.51,188.93,122.63,128.81,124.03,281.75,256.55,190.95,208.34,310.22,CD109
122.38,129.04,118.08,124.5,150.26,120.87,130.32,130.49,127.05,119.27,134.27,127.37,132.15,129.75,113.44,118.36,126.59,125.69,125.99,227.62,179.01,625.14,277.94,132.14,118.35,123.95,152.51,191.1,211.81,165.2,157.86,146.99,CD110
213.48,165.45,213.48,254.35,162.76,147.27,182.2,182.2,123.57,190.75,209.07,174.24,168.52,1066.14,118.92,116.81,0,147.66,151.47,106.06,153.54,457.45,281.44,144.61,165.68,130.75,280.09,229.4,254.25,164.47,164.72,152.76,CD111
217.08,161.39,186.24,223.77,274.47,208.24,153.22,153.22,275.98,92.26,167.14,128.04,204.02,275.98,0,231.55,154.02,216.04,341.76,103.71,171.69,581.71,259.9,215.8,124.24,138.69,150.38,200.13,227.73,185.86,0,141.63,CD112
208.54,134.65,809.91,209.74,172.37,132.62,132.56,121.85,215.44,111.08,115.73,124.43,145.03,215.44,0,134.65,142.97,138.04,129.48,100.25,124.76,446.85,453.85,145.32,402.42,0,214.52,229.53,174.76,152.71,0,148.82,CD114
147.88,199.44,150.41,146.63,133.07,220.52,191.31,189.56,220.42,181,194.93,158.16,360.95,196.86,254.32,263.67,183.52,157.95,143.68,102.22,176.55,618.38,371.16,423.38,252.03,128.04,127.04,535.23,1246.6,977.26,128.23,379.42,CD115
209.96,154.24,450.52,271.36,159.89,145.99,171.57,174.02,129.82,141.87,143.95,149.5,304.63,143.98,113.71,149.61,145.99,138.93,149.94,100.39,1432.37,597.65,561.34,295.41,139.36,160.02,298.18,2274.06,2202.52,536.36,848.65,2236.28,CD116
355.08,154.05,410.67,240.66,357.91,147.9,154.75,156.07,132.92,204.82,153.23,140.64,154.45,132.92,146.71,138.52,165.46,145.83,191.18,96.15,138.4,432.48,263.24,219.08,200.43,182.04,205.29,174.02,176.43,175.62,2197.47,351.66,CD117
202.41,163.41,211.73,223.41,187.47,172.02,149.08,151.59,128.72,120.34,143.6,174.1,169.8,131.08,122.44,129.12,149.73,181.17,177.49,119.63,176.89,579.35,523.19,128.22,159.85,214.44,199.94,710.03,700.68,438.97,394.57,565.41,CD119
1383.69,3732.58,1365.26,1275.93,1520.99,4040.99,3520.61,3618.85,2887.36,2466.69,4010.31,3663.78,4670.06,3052.55,2280.76,2259.03,3783.39,4368.2,5420.19,130.96,11465.86,6973.19,3161.22,5408.46,1330.89,5999.14,10557.86,12249.84,12814.96,11949.86,4937.29,12545.4,CD11a
155.7,148.46,151.24,161.16,159.77,145.5,144.05,142.88,147.66,141.05,142.32,155.13,141.03,137.75,185.52,138.68,144.84,143.59,148.88,93.42,144.23,878.09,1523.94,141.4,182.06,137.86,230.21,1434.66,912.16,232.05,0,185.12,CD11b activated
318.27,149.57,279.32,692.88,5599.41,174.58,111.15,111.15,0,111.15,149.57,0,106.48,0,0,153.44,168.83,245.94,174.58,99.94,0,1046.22,312.76,198.82,140.91,0,115.37,215.98,194.22,162.01,0,169.56,CD120a
173.46,156.19,142.98,602.79,198.56,162.49,149.47,144.71,165.26,126.74,136.28,149.83,161.4,172.43,137.34,120.9,136.72,159.05,164.49,107.16,162.32,539.13,722.35,153.48,244.53,136.76,137.68,319.85,569.59,1458.1,118.81,192.39,CD120b
334.04,196.98,0,544.34,0,206.32,187.65,187.65,105.56,296.85,0,143.93,1407.34,105.56,0,293.72,0,121.33,0,7081.24,326,876.1,277.52,261.75,664.4,0,175.05,166.07,165.23,132.65,0,141.68,CD121a
197.81,144.43,162.06,335.93,180.8,146.38,133.76,135.4,127.76,149.2,143.4,133,133.53,128.59,109.99,154.99,145.06,141.07,149.14,126.65,182,469.75,240.67,140.77,215.15,405.04,261.68,181.41,228.97,181.85,222.33,235.54,CD122
212.74,136.59,212.03,234.09,215.25,151.9,136.32,136.32,159.43,126.84,140.19,136.04,180.09,120.9,341.29,118.63,0,162.99,113.64,96.05,228.13,444.11,245.99,100.67,0,117.34,0,177.88,215.81,152.39,317.2,145.92,CD124
203.31,151.26,176.6,257.48,250.15,149.9,153.55,153.41,137.79,307.82,198.3,128.68,141.16,138.37,140.48,193.57,109.62,141.75,149.9,96.41,250.71,579.63,269.86,102,178.6,110.7,233.12,186.68,238.58,193.98,0,143.69,CD125
178.22,152.39,124.06,189.34,179.57,130.88,154.56,155.26,149.46,132.75,167.9,145.81,155.41,152.26,127.23,123.26,140.49,132.77,121.24,97.94,176.54,531.98,523.25,174.57,150.06,145.28,269.23,414.19,446.22,176.53,130.28,401.94,CD126
130.49,143.69,130.51,132.39,131.02,145.54,142.64,143.7,133.87,133.53,148.84,131.49,135.06,132.24,140.07,154.77,150.84,132.11,128.81,105.79,146.24,814.43,438.06,183.14,143.77,131.6,127.3,212.51,240.27,227.31,161.62,166.51,CD129
156.39,222.43,866.54,353.06,138.28,193.01,234.28,238.46,200.99,336.21,200.35,154.47,153.77,161.27,271.54,206.73,151.66,140.27,136.03,184.25,224.99,463.37,249.43,270.31,0,123.94,118.52,314.29,243.98,160.83,178.61,170.96,CD130
154.83,131.28,124.44,156.04,156.24,149.58,128.56,131.85,124.72,121.52,119.39,137.26,164.4,124.96,122.85,183.12,142.41,155.51,135.8,97.08,158.03,1157.46,1019.11,139.39,2528.42,298.56,399.68,245.22,236.23,192.84,854.29,206.77,CD131
194.65,145.31,210.41,209.51,165.79,145.39,145.14,144.82,147.51,129.16,150.63,141.62,153.38,148.26,130.18,128.97,156.93,150.82,146.27,99.94,137.79,451.41,273.41,137.14,0,137.36,142.7,234.85,262,163.87,235.52,153.15,CD132
187.03,164.48,194.53,1018.21,139.1,166.04,164.87,165.36,169.78,168.13,168.66,162.46,146.92,169.78,0,139.71,210.02,184.75,163.41,100.49,173.77,481.38,249.42,161.25,120.04,130.23,125.24,206.24,249.18,182.2,128.09,161.35,CD134
166.93,173.12,417.42,1734.49,150.44,144.56,201.84,210.81,147.48,787.81,146.93,169.3,249.3,147.48,0,176.06,129.19,183.2,134.59,96.56,260.55,484.49,252.39,132.62,152.71,117.72,138.66,190.08,186.18,162.85,233.26,287.79,CD135
141.51,161.22,141.1,138.88,141.37,171.83,156.88,155.45,168.03,145.41,161.28,159.86,172.43,167.92,170.36,187.87,159.79,141.67,131.94,129.13,189.03,892.18,549.53,242.88,124.14,137.93,123.7,294.18,307.87,212.9,221.9,176.1,CD137L
199.38,167.34,273.51,463.92,109.59,160.3,180.55,263.76,149.19,294.5,202.65,236.02,381.38,147.9,0,0,0,160.3,157.41,95.74,119.71,456.13,292.95,113.85,0,0,127.59,177.66,159.75,144.49,0,163.99,CD137
253.07,191.19,198.34,126.91,315.19,253.84,124.2,127.6,124.2,0,127.6,631.35,112.26,124.2,0,0,197.7,917.54,136.33,5198.99,0,1427.79,682.93,112.8,96.91,295.73,206.31,160.95,202.56,146.82,0,139.72,CD138
